Node,Degree
scene,164
art,163
achieve,163
apply,162
map,162
measurement,162
addition,162
parameter,161
building,161
satellite,160
light_source,159
mechanism,158
adjust,158
station,158
eg,157
people,156
target_object,156
side,156
contact,155
contain,155
deliver,154
manner,154
water,154
involve,151
content,151
load,151
lift,150
connection,149
level,149
state,148
say,148
frequency,148
property,148
product,148
more_processor,147
determination,147
cell_site,146
autonomous_vehicle,146
secure,145
extend,145
coordinate,145
arm,145
more_sensor,144
obstacle,144
direct,144
force,143
movable_object,142
message,142
land,141
execute,141
prevent,140
degree,140
series,140
source,140
present,139
program_instruction,139
estimate,138
module,138
refer,137
charge,136
communicate,136
value,136
aerial_drone,136
channel,135
attach,135
array,134
develop,134
cell,133
term,133
prior_art,133
relate,132
transfer,131
claim,131
flight_plan,130
helicopter,130
rotation,130
link,128
destination,128
improve,128
edge,127
employ,127
cover,126
various_embodiment,126
first_set,126
shape,125
eyepiece,125
site,125
control_signal,124
deploy,124
purpose,123
inspection,123
establish,121
reach,121
interface,121
interference,121
engine,121
accuracy,121
facilitate,120
member,120
release,120
address,118
facility,118
functionality,118
account,117
travel,117
solution,117
this,117
driver,117
show,116
circuit,115
glass,115
real_time,114
sense,114
mode,114
situation,114
security,113
deployment,113
node,113
transport,113
combine,112
characteristic,112
limitation,112
know,111
arrange,111
analyze,111
gas,111
they,111
ship,111
shipment,110
give,110
failure,110
length,110
each,109
UAS,109
record,109
remote_control,109
navigation,109
collision,109
first_image,108
database,108
agreement_performer,108
proximity,107
communication_device,107
conjunction,107
match,106
demand,106
subject,106
avoid,106
first_portion,106
safety,105
laser,105
receiving_container,105
entity,104
dispose,104
fuel,103
compare,103
screen,102
second_portion,102
implementation,102
activity,102
actuator,102
lens,102
monitoring,102
thrust,101
computer_program_product,101
lack,101
hardware,101
share,101
unmanned_aircraft,100
mobile_terminal,100
error,100
canister,100
permit,99
imaging_device,99
GPS,99
sequence,99
cable,99
alert,99
communication_system,99
wireless_network,97
rule,97
launch,97
wall,97
projectile,96
exist,96
wireless_communication,95
challenge,95
radio_signal,95
user_device,95
issue,95
requirement,95
basis,94
landing,94
temperature,94
delivery_device,94
filter,93
activate,93
user_interface,93
find,93
acquire,93
video_data,93
wherein,93
assembly,92
child,92
owner,92
incorporate,92
rate,91
subset,91
plane,91
axis,91
computing_device,90
efficiency,90
analysis,90
vessel,90
roof,90
rotorcraft,90
update,89
control_unit,89
main_body,89
position_information,89
location_information,89
current_location,89
target_location,89
description,88
dock,88
personnel,88
second_set,88
airplane,88
call,88
weapon,87
asset,87
customer,87
airspace,86
block,86
velocity,86
recipient,86
opening,86
pose,85
capacity,85
integrate,85
drag,85
further_comprises,84
flight_restriction_region,84
trajectory,84
turn,84
difference,83
zone,83
impact,83
transport_device,83
front,83
more_embodiment,83
equip,82
coverage_area,82
protect,82
first_direction,82
experience,82
work,82
wind,82
second_image,82
switch,82
threat,81
remain,81
good,81
drive,81
volume,81
climber,81
remove,81
detail,81
Internet,81
wireless_communication_device,80
other_type,80
detector,80
affect,80
carrier,79
large_number,79
board,79
test,79
section,79
reference_point,78
processing,78
rotate,78
consumer,78
regard,78
derive,77
cloud,77
cell_tower,77
identity,77
occur,77
scope,77
handle,77
wide_variety,77
cellular_network,76
vicinity,76
engage,76
navigate,76
fuel_tank,76
interaction,76
second_location,76
enter,75
radio,75
pitch,75
specify,75
hold,75
game,75
first_location,75
focus,75
convert,75
aid,75
wavelength,75
human,74
relation,74
various_type,74
gateway,74
status,74
course,74
return,74
development,74
offer,74
propulsion_system,73
instal,73
detailed_description,73
selection,73
modify,73
add,73
emit,73
identifier,73
attempt,73
computer_system,73
assign,73
others,72
notification,72
code,72
enhance,72
other_device,72
flight_vehicle,72
etc,72
compliance,72
coil,71
ground_terminal,71
specification,71
door,71
align,71
manage,71
guide,70
human_operator,70
theplurality,70
first_end,70
build,70
captured_image,70
fluid,70
dimension,70
first_unmanned_aerial_device,69
aerial_platform,69
emission,69
solar_cell,69
factor,69
template,68
surveillance,68
GPS_receiver,68
foot,68
rod,68
blade,68
installation,68
adapt,68
head,68
delay,68
resolution,68
execution,68
benefit,68
reflect,68
electricity,68
storage,68
top,67
image_sensor,67
see,67
plan,67
hour,67
quality,67
comparison,67
more_image,67
landing_pad,67
feedback,67
height,67
layer,67
consideration,67
wire,66
segment,66
extract,66
control_station,66
transceiver,66
communication_network,66
agreement,66
simulator,66
identification,66
adjustment,66
concern,66
video_stream,66
first_camera,66
initiate,66
variation,66
sight,66
follow,65
period,65
difficulty,65
complexity,65
heat,65
loss,65
hand,64
coverage,64
audio,64
m,64
ground_station,64
picture,63
central_body,63
reservoir,63
automobile,63
subject_matter,63
robotics,63
sound,63
context,63
decision,63
swarm,63
first_data,63
decrease,63
transition,62
procedure,62
wireless,62
improvement,62
gain,62
pressure,62
maneuver,62
report,62
threshold,62
microphone,61
propulsion_unit,61
target_substance,61
spectrum,61
cavity,61
collection,61
electric_motor,61
current_position,61
smartphone,60
minimize,60
atleast,60
UAV_apparatus,60
bottom,60
crop,60
world,60
supply,60
unmanned_aerialvehicle,60
enclosure,60
audio_data,60
some,59
point_cloud,59
unmanned_system,59
responsive,59
laser_beam,59
parent,59
navigation_system,59
flow,59
delivery_point,59
parcel,59
program,59
location_data,59
propulsion,58
mobile_platform,58
pattern,58
broadcast,58
circuitry,58
joystick,58
propel,58
do,58
video_image,58
electromagnetic_wave,58
light_beam,58
more_unmanned_aerial_vehicle,58
reward,58
concept,58
predict,58
bandwidth,58
second_end,58
more_UAVs,58
tower,58
accomplish,58
UV,57
proximate,57
management,57
search,57
player,57
cargo,57
video_feed,57
face,57
emergency,57
indicator,57
placement,57
fact,57
deviation,57
maintenance,56
key,56
cannot,56
day,56
life,56
wireless_communication_network,56
instance,56
phase,56
run,56
shaft,56
same_time,56
algorithm,56
power_supply,56
construction,56
transportation_apparatus,56
computer_program,56
provision,56
business,56
signal_strength,56
hydrogen,55
patient,55
target_area,55
manufacture,55
article,55
beacon,55
party,55
animal,55
optimize,55
external_device,55
forth,55
list,55
keep,55
exemplary_embodiment,55
different_type,55
hazard,54
gap,54
airframe,54
relay,54
disadvantage,54
M-RBS,54
diameter,54
environmental_data,54
verify,54
resource,54
width,54
al,54
terrain,54
tool,54
year,53
color,53
transmission_medium,53
play,53
drawing,53
meet,53
plant,53
video_camera,53
thereon,53
introduce,53
positioning,53
house,53
unmanned_transport_device,53
fleet,53
construct,53
trigger,53
project,53
gather,53
second_camera,53
protection,52
barrel,52
repair,52
exchange,52
class,52
readable_medium,52
ring,52
real-time,52
first_plurality,52
stop,52
tree,52
possibility,52
extent,52
get,52
lock,52
fire,52
aerial_device,52
intensity,52
pass,52
objective,52
precision,52
difficult,51
scan,51
scheme,51
second_data,51
first_signal,51
optical_assembly,51
assess,51
gravity,51
first_vehicle,51
meter,51
computer-implemented_method,51
landing_area,51
takeoff,51
file,51
mobile_phone,50
home,50
US_Pat,50
inspect,50
obstruction,50
minute,50
incident,50
mobile_vehicle,50
exceed,50
read,50
first_position,50
computing_system,50
target_region,50
ensure,50
behavior,50
slot,50
distribute,49
industry,49
user_input,49
employee,49
yaw,49
availability,49
input_data,49
communication_signal,49
present_application,49
modification,49
radiation,49
conduct,49
remote_location,49
likelihood,49
simulation,49
drop,49
example_embodiment,49
relative_position,49
theUAV,49
evaluate,49
motor_vehicle,49
parallel,48
leave,48
noise,48
large_amount,48
lot,48
separate,48
fix,48
oil,48
we,48
remote,48
expose,48
soil,48
car,48
various_aspect,48
verification,48
advance,48
aplurality,48
imagery,48
substance,48
power_line,48
liquid,48
replace,48
power_consumption,48
gesture,48
generation,48
conductive_surface,48
operating,48
other_embodiment,48
position_determination,47
command_center,47
core,47
communication_link,47
automotive_listing_data,47
passage,47
flexible_propeller_guard,47
net,47
portable_device,47
deployment_system,47
stage,47
control_surface,47
transportation,47
control_center,47
reference_component,47
transform,47
subsystem,47
correspond,47
delivery_location,47
passenger,47
light_signal,47
extension,47
effort,47
inertial_measurement_unit,47
geographic_area,47
nature,46
unmanned_air_vehicle,46
tilt,46
able,46
vary,46
consider,46
close_proximity,46
correct,46
optical_signal,46
usage,46
itself,46
continue,46
fertilizer,46
projection,46
insulated_equipment,46
third_party,46
radio_frequency,46
first_UAV,46
band,46
company,46
wireless_transceiver,46
autopilot,46
patent,46
ordnance_munition,46
retrieve,46
complete,46
aperture,46
autonomous_device,46
break,45
drawback,45
communication_module,45
choice,45
electronic_communication,45
ofthe,45
assist,45
enemy,45
left,45
strength,45
signal_indicative,45
AV,45
metadata,45
second_signal,45
signal_quality,45
instrument,45
distal_end,45
understand,45
reception,45
airflow,44
goal,44
vertical_takeoff,44
magnetic_field,44
danger,44
waypoints,44
regulation,44
parachute,44
kind,44
medium,44
reduction,44
projector,44
speaker,44
Unmanned_Aerial_Vehicle,44
piece,44
duct,44
further_embodiment,44
runway,44
schedule,44
photo,44
road,44
comprises,44
geofence,43
alter,43
who,43
end_effector,43
eliminate,43
data_capture,43
target_platform,43
option,43
lane,43
soldier,43
remote_control_unit,43
practice,43
embody,43
pick,43
weather,43
onboard,43
accelerometer,43
connectivity,43
thereto,43
oppose,43
geographic_location,43
preferred_embodiment,43
text,43
internet,42
sample,42
airfoil,42
all,42
computer_processor,42
child_module,42
duration,42
related_art,42
lock_member,42
attack,42
depth,42
characterize,42
such_system,42
other_feature,42
longitudinal_axis,42
data_indicative,42
transfer_device,42
integrated_circuit,42
touch,42
communication_terminal,42
attachment,42
foregoing,42
microprocessor,42
acceleration,41
beacon_signal,41
lower,41
control_data,41
wide_range,41
flight_route,41
camera_system,41
stem_portion,41
waveguide,41
authorisation_information,41
optical_sensor,41
compute,41
stream,41
them,41
traffic,41
compound,41
utility,41
positional_information,41
arrival,41
synchronization,41
collision_avoidance,41
own_aircraft,41
production,41
data_acquisition_point,41
intruder,41
balloon,41
divide,41
satisfy,40
wearable_monitoring_device,40
tag,40
alignment,40
flight_controller,40
removal,40
video_frame,40
gimbal,40
ormore,40
ratio,40
attitude,40
marker,40
matter,40
UAVcraft,40
crew,40
first_controller,40
authentication_data,40
radio_frequency_signal,40
receipt,40
flight_mode,40
multiple,40
directional_antenna,40
front_end,40
quantity,40
data_communication,40
act,40
second_direction,40
fall,40
first_side,40
bring,40
probability,40
control_device,40
more_drone,40
RF_signal,40
timing,39
stability,39
sky,39
orbit,39
association,39
solve,39
distribution,39
antenna_fixture,39
expand,39
standard,39
actuation,39
data_rate,39
reflector,39
unmanned_drone,39
interior,39
thevehicle,39
flight_indication_data,39
inner_surface,39
insert,39
lead,39
UaVs,39
radius,39
hole,39
reflection,39
launcher,39
profile,39
check,39
photograph,39
first_power_rail,39
low_cost,39
mosquito,39
digital_image,38
vibration,38
electrical_signal,38
document,38
surround,38
three-dimensional_space,38
uplink,38
push,38
sensor_information,38
docking_station,38
cellular_phone,38
operational_data,38
wear,38
reliability,38
finger,38
principle,38
counter,38
reflective_image_source,38
guidance_system,38
reference_image,37
themethod,37
encompass,37
parking_facility,37
theone,37
interior_space,37
reconnaissance,37
other_user,37
positional_data,37
boundary,37
summary,37
image_source,37
new_point_determination_component,37
more_object,37
hundred,37
eye,37
city,37
mapping,37
these,37
threat_UAV,37
help,37
hover,37
instruct,37
perspective,37
clock_signal,37
torque,37
example_method,37
UVs,37
overcome,37
GRL_Device,37
simulate,37
depth_map,37
second_plurality,37
free_space,37
optical_communication_beam,37
throttle,37
concentration,37
knowledge,37
internal_combustion_engine,36
voltage,36
top_surface,36
realize,36
available_parking_space,36
RCD,36
communication_interface,36
arrangement,36
none,36
consume,36
post,36
first_unmanned_aerial_vehicle,36
mitigate,36
waste,36
reference_signal,36
second,36
law_enforcement,36
SID,36
exhibit,36
come,36
LIDAR_system,36
thousand,36
electronics,36
multiple_drone,36
background,36
such_device,36
popularity,36
infrastructure,36
window,36
warning,36
multitude,36
user_terminal,36
beacon_device,35
phone,35
remote_device,35
waveguide_member,35
second_housing,35
magnetometer,35
loop,35
mile,35
motion_data,35
image_frame,35
electrical_power,35
fit,35
growth,35
wireless_signal,35
oneor,35
driverless_vehicle,35
UEs,35
specific_location,35
separation,35
retain,35
photodetector,35
mass,35
least_part,35
command_signal,35
other_object,35
flight_control_system,35
displayed_content,35
tube,35
sensing,34
text_message,34
frequency_band,34
calibration,34
remote_control_device,34
observe,34
model_element,34
autonomous_drone,34
first_peak_wavelength,34
hub,34
executable_instruction,34
thickness,34
study,34
second_side,34
mobile_cell,34
geographical_area,34
correction,34
corresponding,34
tension,34
unique_identifier,34
second_position,34
payload_module,34
attention,34
freedom,34
total_station,34
drone_device,34
relative,34
wheeled_vehicle,34
spread,34
first_image_data,34
storage_facility,34
constraint,34
elevated_structure,33
connector,33
consist,33
plate,33
mirror,33
button,33
scanner,33
setting,33
sheet,33
path_point,33
branch,33
designate,33
electrical_energy,33
injury,33
leastone,33
airport,33
restrict,33
recharge,33
computer-readable_medium,33
more_computer_processor,33
moment,33
aim,33
visual_information,33
UE,33
effectiveness,33
position_data,33
flight_control,33
voice,33
more_action,33
health,33
smart_phone,33
aerial_photography,33
light_field_representation,33
radio_transmitter,33
purchase,33
authentication,33
more_propeller,32
recognize,32
descent,32
worker,32
spectral_information,32
aerial_robot,32
microwave,32
imaging,32
radar,32
light_detector,32
combination_thereof,32
chamber,32
influence,32
earth,32
television,32
modem,32
display_device,32
potential,32
swimmer,32
downlink,32
broadband_access,32
laser_diode,32
go,32
frame_portion,32
electronic_lock,32
drone_base,32
column,32
first_responder,32
completion,32
sender,32
more_branch_portion,32
spectral_filter_array,32
middle,32
nm,32
wireless_device,32
cell_phone,32
travel_route,32
projection_screen,32
FIG,32
accept,32
launch_tube,32
agreement_monitor,32
UAVdrone_craft,32
desire,32
rest,32
rotor_blade,32
relative_motion,32
rechargeable_battery,32
payment,32
open,32
chemical,31
save,31
market,31
signature,31
dispatch,31
put,31
processing_device,31
ejector,31
review,31
capture_image,31
white_light,31
phased_array_antenna,31
sub-control_assembly,31
predetermined_distance,31
configured,31
readable_storage_medium,31
ground_level,31
website,31
electronic_glassesheadset,31
take-off,31
serve,31
feed,31
more_item,31
multicopter,31
imaging_block,31
truck,31
shadow,31
first_transducer,31
US,31
first_control_member,31
integrity,31
three-dimensional_model,31
suffer,31
geographic_region,31
output_signal,31
support_arm,31
craft,31
interactive_head-mounted_eyepiece,31
elevation,31
processing_unit,31
second_rotor_assembly,31
population,31
pad,31
calculation,31
relationship,31
manned_vehicle,31
priority,31
accident,31
plume,31
rescue,31
rely,31
perimeter,31
roll,30
viewer,30
augment,30
visual_indicator,30
correlate,30
main_wing,30
delivery_system,30
sun,30
activation,30
rotary_wing,30
first,30
flight_management_system,30
flexibility,30
magnitude,30
wireless_receiver,30
United_States,30
traverse,30
forward,30
unmannedaerial_vehicle,30
disparity,30
insect,30
handover,30
hybrid_airship-drone,30
second_surface,30
PCB,30
survey,30
offset,30
reality,30
turbulence,30
electromagnetic_spectrum,30
vehicle_crash_data,30
first_device,30
convey,30
remote_sensor_interface,30
monitoring_system,30
ax,30
reason,30
host,30
research,30
modulate,30
air_traffic_control,30
flight_trajectory,30
mobile_communication_device,30
audio_signal,30
antenna_array,29
spot,29
enclosed_space,29
security_system,29
constitute,29
depend,29
assessment,29
generic_abstraction,29
mark,29
launch_rail,29
non-transitory_computer-readable_medium,29
antenna_element,29
warehouse,29
interpret,29
delivery_destination,29
residential_structure,29
mobile_wireless_device,29
airspace_controller,29
optical_film,29
more_parameter,29
first_beam,29
may,29
date,29
thesystem,29
situational_awareness,29
MHz,29
candidate_path,29
following_description,29
more_rotor,29
utilization,29
wheel,29
crash,29
time_period,29
reel_body,29
scenario,29
autonomous_flight,29
demonstrate,29
user_equipment,29
kit,29
origin,29
lose,29
authorization,29
different_location,29
renter,28
maximize,28
virtual_model,28
jet_engine,28
imaging_platform,28
display_screen,28
exposure,28
computer-executable_instruction,28
controlled_device,28
client_device,28
acquisition,28
aerial_image,28
us,28
other_information,28
other_aspect,28
data_transmission,28
mission_plan,28
verified_user,28
inside,28
tend,28
first_unmanned_vehicle,28
dot,28
flight_parameter,28
access_point,28
unmanned_electronic_device,28
visualization,28
fill,28
delivery_vehicle,28
scale,28
ie,28
oscillation,28
outer_skin,28
pump,28
inner_portion,28
parcel_carrier,28
vertical_direction,28
certain_embodiment,28
encounter,28
handoff,28
illumination_pole,28
disable,28
emergency_situation,28
threshold_value,28
start,28
oscillating_field,28
waveguide_face,28
assistance,28
motion_sensor,27
second_sensor,27
additional_feature,27
toolset,27
specific_information,27
planning,27
ice,27
retention,27
mantle,27
large_area,27
first_light,27
remote_area,27
second_power_rail,27
exit,27
environmental_condition,27
accurate,27
logic,27
network_device,27
group_centroid,27
bearing,27
render,27
first_drone,27
cellular_telephone,27
private_key,27
skill,27
optical_fiber,27
occurrence,27
drone_vehicle,27
presentation,27
robotic_arm,27
frontlight,27
missile,27
power_signal,27
flip-flop,27
inventor,27
first_sensor,27
GPS_signal,27
fixture,27
adopt,27
multiple_UAVs,27
COsub2,27
manufacturer,27
occupy,27
remote-controlled_machine,27
proximal_end,27
image_signal,27
Drone,27
munition,27
panel,27
first_ordnance_munition,27
surveillance_system,27
RF,27
real_estate_property,27
fan,27
imaging_element,27
shroud,27
mobile_base_station,27
occupant,27
projection_screen_surface,27
remote_server,27
begin,27
time_slot,27
image_capture_device,26
wireless_coverage,26
framework,26
distance_measurement,26
search_bin,26
operator_device,26
long_distance,26
software_application,26
signal_data,26
multiple_camera,26
reader,26
existence,26
service_provider,26
computer_software,26
clock,26
brightness,26
destination_location,26
valve,26
permission,26
more_joint,26
substrate,26
register,26
radio_receiver,26
drift,26
cell_site_component,26
circuit_board,26
therewith,26
IMU,26
airspeed,26
illuminate,26
imaging_system,26
translate,26
current,26
target_structure,26
access_control_vestibule,26
tank,26
surroundings,26
monitored_information,26
battery_arm,26
accommodate,26
more_instruction,26
publish,26
first_time,26
atmosphere,26
second_controller,26
master_portion,26
theat,26
induce,26
weather_condition,26
packet,26
unmanned_aerial_mission,26
image_processing,26
can,26
significant_amount,26
replacement,26
first_entity,26
out_surface,26
base_portion,26
electronic_component,26
slow,26
remote_operator,26
sort,26
public,26
GPROS,26
tote_package,26
onboard_sensor,25
more_camera,25
first_autonomous_device,25
non-fixed_portion,25
defect,25
aerodynamic_lift,25
thelocation,25
configuration_data,25
receiving,25
first_area,25
shortcoming,25
control_information,25
input_device,25
more_device,25
rout,25
vehicle_safety_device,25
approval,25
penetrator_rod,25
discharge,25
pet,25
radio_sub-system,25
second_wing,25
first_object,25
room,25
sonobuoys,25
large_drone,25
high_cost,25
food,25
wireless_transmitter,25
estimation,25
solar_panel,25
sub-region,25
horizontal,25
associatedwith,25
data_collection,25
above,25
antenna_supporting_structure,25
other_aircraft,25
graphical_user_interface,25
allocate,25
audio_stream,25
sector,25
Summary,25
acoustic_energy,25
target_information,25
engagement,25
low_portion,25
nozzle,25
second_light,25
air_traffic_control_system,25
UAV_chassis,25
annotation,25
information_throttle,25
automated_system,25
flight_characteristic,25
net_drag,25
non-transitory_computer-readable_storage_medium,25
agreement_creator,25
remote_terminal,25
communication_unit,25
vector,25
drone_data,25
drone_base_station_companion,25
note,25
tire,25
public_key,25
more_antenna,25
kilogram,25
control_instruction,25
leg,25
optical_transmitter,25
first_battery,25
rear,25
reference_model,25
today,25
ROI,25
operating_rule,25
close,24
vertical_stabilizer,24
current_state,24
sonobuoy,24
clip,24
chassis,24
government,24
signal_emitter,24
battery_cell,24
second_aspect,24
category,24
propagate,24
acoustic_signal,24
overlap,24
viewpoint,24
seal,24
guidance,24
load_power_rail,24
restricted_area,24
pairing,24
GUI,24
exhaust_plume,24
publication,24
SSD,24
restriction,24
illumination,24
right,24
easy,24
remote_pilot,24
angular_velocity,24
outline,24
more_electrical_component,24
such_information,24
image_plane,24
film,24
carriage,24
target_point,24
herein_relate,24
storage_medium,24
operable,24
strategy,24
onboard_computer,24
motor_assembly,24
expect,24
spin,24
data_storage_library,24
repositionable_weight,24
port,24
tail,24
navigation_solution,24
communication_channel,24
image_capture_array,24
endurance,24
surface_image_data,24
thing,24
first_subsystem,24
UAV_copter,24
retrieval,24
operating_parameter,24
various_technique,24
launching,24
touch_screen,24
rail,24
discuss,24
other_component,24
brain,24
automated_vehicle,24
ten,24
perception,24
rain,24
reel,24
man,24
high_level,24
second_robotic_machine,24
time_delay,24
on-board,24
crusher,24
landing_structure,24
b,24
transmission_range,24
insurance_policyholder,24
authenticate,24
destroy,23
panoramic_video,23
pole,23
coating,23
camera_module,23
turbine,23
training,23
propellant,23
action_camera_system,23
seam,23
raise,23
gas_balloon,23
disease,23
cage,23
absence,23
balance,23
such_vehicle,23
Structure,23
encryption,23
other_vehicle,23
leverage,23
flight_operation,23
A,23
first_assembly,23
aerially-mobile_device,23
particular_location,23
seed,23
electric_field,23
telephone_number,23
fee,23
designated_area,23
reference_point_position,23
efficient,23
classify,23
high_resolution,23
delivery_route,23
telecommunication_emergency_device,23
planned_path,23
visibility,23
UAVGS,23
optimization,23
audio_signal_data,23
vestibular_data,23
initial_position,23
pulley_driver,23
therefore,23
sport,23
wireless_power_transmitter,23
sign,23
digital_camera,23
payload_container,23
draw,23
enclose,23
bottom_surface,23
more_location,23
coupling,23
row,23
more_actuator,23
regulate,23
wireless_communication_system,23
weigh,23
energy_storage_system,23
power_management_system,23
mobile_deviceintelligent,23
mayinclude,23
light_spot,23
thedrone,23
correspondence,23
shift,23
second_image_data,23
pulse,23
robotic_vehicle,23
other_sensor,23
detection_system,23
formation,23
limited_number,23
bicycle,23
movable_entity,23
predetermined_number,23
opportunity,23
distance_value,23
additional_aspect,23
rocket_tube,23
fold,23
more_target_object,23
encode,23
other_factor,23
phase-locked_loop,23
bit,23
power_system,23
more_candidate_vehicle,23
belay,23
fulfillment_center,23
monitoring_device,23
notify,23
second_wireless_network,22
first_location_information,22
second_peak_wavelength,22
coordination,22
ammunition,22
wavelength_conversion_member,22
telecommunication_site,22
polarizing_beam_splitter,22
air_flow,22
embed,22
retail_area,22
game_action,22
role,22
present_embodiment,22
first_type,22
trustworthiness,22
UA,22
midair,22
various_exemplary_embodiment,22
further_aspect,22
servo,22
cryptographic_device,22
measuring_device,22
propose,22
remotely-operable_device,22
wireless_link,22
entitle,22
exterior_surface,22
ignite,22
tracking,22
electric_vehicle,22
isolate,22
high_altitude,22
span,22
soil_sample,22
sensor_system,22
COsub2_container,22
first_aspect,22
battery_life,22
such_method,22
stereoscopic_image,22
user_interaction,22
second_Iot_device,22
UAV_support_mechanism,22
laser_light,22
subscriber,22
closure,22
shooter,22
lock_actuator,22
limited_range,22
shell,22
launch_system,22
container_structure,22
dimensional_model,22
data_center,22
beam_splitter,22
tracer_material,22
privacy,22
network_connectivity,22
power_transfer,22
correlation,22
timing_difference,22
prove,22
therein,22
word,22
UAS_module,22
short_distance,22
dynamic_object,22
GST,22
intersection,22
robotic_device,22
destination_area,22
AGV,22
fixed_portion,22
inaccuracy,22
emitter,22
other_structure,22
high_frequency,22
centroid,22
premise,22
operating_temperature,22
transducer,22
generator,22
other,22
clock_cell,22
night,22
APs,22
first_processing_unit,22
unmanned_aerial_system,22
initiation_point,22
image_information,22
alternative,22
spring,22
curvature,22
reference_point_determination_component,22
second_unmanned_aerial_vehicle,22
following_apparatus,22
radar_system,22
telecommunication_network,22
remote_user,22
client,22
pod,22
first_payload_interface,22
first_balance_track,22
death_star,22
AVM,22
low_surface,22
distortion,22
other_drone,21
prepare,21
split,21
sum,21
natural_disaster,21
evaluation,21
parameter_value,21
lid_section,21
tothe,21
pull,21
attribute,21
drone_operation,21
target_video_stream,21
photon,21
ordnance,21
calibrate,21
drone_body,21
vertical_thrust,21
reading,21
intelligent_electronic_glass,21
such_embodiment,21
filter_element,21
rear_end,21
agricultural_vehicle,21
charging,21
surveying_device,21
discussion,21
ground_control_station,21
measurement_data,21
unmanned_aircraft_system,21
different_time,21
UAV_destination,21
cross,21
property_damage,21
ICIAP_audio_processing_device,21
touch_sensitive_display,21
power_level,21
UAV_flight,21
shield,21
first_operational_keyset,21
antenna_aperture,21
live_video,21
surrounding_environment,21
respond,21
inspector,21
marine_vessel,21
download,21
cord,21
assemble,21
slave_portion,21
combustor,21
locating_signal,21
recent_year,21
panoramic_image,21
recovery,21
venue,21
Federal_Aviation_Administration,21
data_acquisition_unit,21
integration,21
pipeline,21
query,21
exterior,21
non-transitory_computer,21
live_feed_medium_stream,21
technician,21
average,21
fiber_core,21
second_UAV,21
other_data,21
destination_point,21
testing,21
second_subsystem,21
synchronize,21
package_delivery,21
appearance,21
train,21
representation,21
bar,21
autonomous,21
launch_vehicle,21
bracket,21
second_device,21
expense,21
alert_notification,21
cooler,21
radio_wave,21
unmanned_aerial_vehicle_system,21
observer,21
image_capture,21
corridor,21
parent_module,21
digital_asset_transaction_computer_system,21
continuous_real-time_sensor_data,21
harm,21
symbol,21
first_axis,21
robotic_platform,21
delivery_path,21
drive_shaft,21
suit,21
clothing,21
intervention,21
secondary_wing_panel,21
anomaly,20
rise,20
antenna_assembly,20
RF_signal_data,20
user_action,20
double-clad_optical_fiber,20
GPS_location,20
airborne_entity,20
addressee,20
control_program,20
vertical_surface,20
propulsion_device,20
memory_block,20
police,20
vertical_take-off,20
payload_relative,20
first_robotic_machine,20
